날짜,총지수,단독주택,연립주택,아파트,아파트(서울),총지수(서울),구분
1986-01-01,34.656,61.347,43.053000000000004,20.973000000000003,17.153,30.044,주택매매가격지수
1986-02-01,34.656,61.347,42.925,20.973000000000003,17.183,30.044,주택매매가격지수
1986-03-01,34.708,61.513000000000005,42.733000000000004,20.935,17.153,30.002,주택매매가격지수
1986-04-01,34.449,61.097,42.733000000000004,20.819000000000003,17.034000000000002,29.837,주택매매가격지수
1986-05-01,34.293,60.848,41.836999999999996,20.664,16.945,29.588,주택매매가격지수
1986-06-01,34.137,60.681999999999995,41.708999999999996,20.548000000000002,16.766,29.381,주택매매가격지수
1986-07-01,34.034,60.599,41.581,20.432000000000002,16.707,29.298000000000002,주택매매가격지수
1986-08-01,34.034,60.599,41.581,20.394000000000002,16.707,29.298000000000002,주택매매가격지수
1986-09-01,34.034,60.599,41.581,20.432000000000002,16.737000000000002,29.298000000000002,주택매매가격지수
1986-10-01,34.034,60.599,41.39,20.432000000000002,16.677,29.174,주택매매가격지수
1986-11-01,33.826,60.431999999999995,41.13399999999999,20.239,16.499000000000002,28.925,주택매매가격지수
1986-12-01,33.722,60.266000000000005,40.942,20.085,16.291,28.718000000000004,주택매매가격지수
1987-01-01,33.67,60.349,40.43,20.046,16.291,28.718000000000004,주택매매가격지수
1987-02-01,33.618,60.349,40.174,19.969,16.230999999999998,28.635,주택매매가격지수
1987-03-01,33.567,60.266000000000005,40.174,19.969,16.142,28.469,주택매매가격지수
1987-04-01,33.618,60.349,40.174,19.969,16.023,28.386,주택매매가격지수
1987-05-01,33.618,60.349,39.918,20.008,16.023,28.345,주택매매가격지수
1987-06-01,33.618,60.431999999999995,39.726,20.008,15.964,28.179000000000002,주택매매가격지수
1987-07-01,33.67,60.431999999999995,39.854,20.085,15.964,28.138,주택매매가격지수
1987-08-01,33.826,60.681999999999995,39.982,20.201,16.112000000000002,28.179000000000002,주택매매가격지수
1987-09-01,35.123000000000005,62.677,41.326,21.05,16.588,28.884,주택매매가격지수
1987-10-01,35.641999999999996,63.591,41.965,21.553,16.826,29.131999999999998,주택매매가격지수
1987-11-01,36.056999999999995,64.339,42.285,21.9,17.034000000000002,29.256,주택매매가격지수
1987-12-01,36.109,64.422,41.965,21.976999999999997,17.064,29.298000000000002,주택매매가격지수
1988-01-01,36.576,65.171,42.285,22.441,17.391,29.505,주택매매가격지수
1988-02-01,37.458,66.334,43.373000000000005,23.175,18.045,30.291999999999998,주택매매가격지수
1988-03-01,38.391,67.914,44.843999999999994,23.87,18.461,30.914,주택매매가격지수
1988-04-01,39.17,69.244,45.483999999999995,24.372,18.847,31.494,주택매매가격지수
1988-05-01,39.533,69.493,45.868,24.874000000000002,19.055999999999997,31.535999999999998,주택매매가격지수
1988-06-01,39.844,69.992,46.187,25.145,19.145,31.535999999999998,주택매매가격지수
1988-07-01,40.259,70.241,46.891000000000005,25.801,19.799,31.826,주택매매가격지수
1988-08-01,41.245,71.571,48.043,26.728,20.511999999999997,32.489000000000004,주택매매가격지수
1988-09-01,41.141000000000005,71.571,48.17,26.535,20.274,32.323,주택매매가격지수
1988-10-01,41.089,71.488,48.426,26.458000000000002,20.125999999999998,32.24,주택매매가격지수
1988-11-01,40.778,71.07300000000001,47.851000000000006,26.11,19.799,31.826,주택매매가격지수
1988-12-01,40.882,70.98899999999999,47.851000000000006,26.381,20.215,31.95,주택매매가격지수
1989-01-01,41.349,71.23899999999999,48.361999999999995,27.076,20.988000000000003,32.446999999999996,주택매매가격지수
1989-02-01,42.646,72.818,50.026,28.505,22.385,33.939,주택매매가격지수
1989-03-01,43.839,74.564,51.945,29.548000000000002,23.217,35.265,주택매매가격지수
1989-04-01,45.655,76.725,54.184,31.363000000000003,24.793000000000003,37.006,주택매매가격지수
1989-05-01,46.018,77.39,55.143,31.671999999999997,24.525,37.047,주택매매가격지수
1989-06-01,46.122,77.556,55.463,31.555999999999997,24.02,36.757,주택매매가격지수
1989-07-01,46.018,77.806,55.271,31.247,23.634,36.591,주택매매가격지수
1989-08-01,46.018,77.723,55.655,31.209,23.634,36.633,주택매매가격지수
1989-09-01,46.122,78.138,55.591,31.17,23.544,36.757,주택매매가격지수
1989-10-01,46.381,78.388,55.975,31.44,23.901,37.006,주택매매가격지수
1989-11-01,46.64,78.803,56.295,31.595,24.02,37.254,주택매매가격지수
1989-12-01,46.848,79.219,56.486999999999995,31.711,24.02,37.254,주택매매가격지수
1990-01-01,47.263000000000005,79.884,57.19,32.174,24.615,37.876,주택매매가격지수
1990-02-01,49.598,83.541,60.453,33.758,26.101,40.114000000000004,주택매매가격지수
1990-03-01,50.739,84.788,62.43600000000001,34.917,27.171,40.983999999999995,주택매매가격지수
1990-04-01,52.347,86.7,64.995,36.577,29.074,42.849,주택매매가격지수
1990-05-01,52.918,87.199,65.571,37.234,29.46,43.097,주택매매가격지수
